python,2,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,75
r,3,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,76
java,4,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,77
c,5,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,78
c++,6,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,79
modeling,10,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,80
SQL,12,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,81
Computer science,15,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,82
Statistics,31,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,83
Mathematics,33,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,84
Mining,34,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,85
Leadership,53,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,86
Data analysis,54,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,87
Quantitative analysis,55,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,88
all,1,Data Scientist,10,KOHLS,10,"Milpitas, CA 95035",2,89
Project management,13,Data Scientist,10,KOHLS,10,"Milpitas, CA 95035",2,90
Computer science,15,Data Scientist,10,KOHLS,10,"Milpitas, CA 95035",2,91
Mining,34,Data Scientist,10,KOHLS,10,"Milpitas, CA 95035",2,92
Data analysis,54,Data Scientist,10,KOHLS,10,"Milpitas, CA 95035",2,93
Quantitative analysis,55,Data Scientist,10,KOHLS,10,"Milpitas, CA 95035",2,94
all,1,Data Scientist (Multiple Levels),11,KOHLS,10,"Milpitas, CA 95035",2,95
Project management,13,Data Scientist (Multiple Levels),11,KOHLS,10,"Milpitas, CA 95035",2,96
Computer science,15,Data Scientist (Multiple Levels),11,KOHLS,10,"Milpitas, CA 95035",2,97
Mining,34,Data Scientist (Multiple Levels),11,KOHLS,10,"Milpitas, CA 95035",2,98
Data analysis,54,Data Scientist (Multiple Levels),11,KOHLS,10,"Milpitas, CA 95035",2,99
Quantitative analysis,55,Data Scientist (Multiple Levels),11,KOHLS,10,"Milpitas, CA 95035",2,100
all,1,ASSOCIATE DATA SCIENTIST,13,"Foot Locker, Inc.",11,"New York, NY",3,101
python,2,ASSOCIATE DATA SCIENTIST,13,"Foot Locker, Inc.",11,"New York, NY",3,102
r,3,ASSOCIATE DATA SCIENTIST,13,"Foot Locker, Inc.",11,"New York, NY",3,103
Git,9,ASSOCIATE DATA SCIENTIST,13,"Foot Locker, Inc.",11,"New York, NY",3,104
modeling,10,ASSOCIATE DATA SCIENTIST,13,"Foot Locker, Inc.",11,"New York, NY",3,105
SQL,12,ASSOCIATE DATA SCIENTIST,13,"Foot Locker, Inc.",11,"New York, NY",3,106
Project management,13,ASSOCIATE DATA SCIENTIST,13,"Foot Locker, Inc.",11,"New York, NY",3,107
Computer science,15,ASSOCIATE DATA SCIENTIST,13,"Foot Locker, Inc.",11,"New York, NY",3,108
Communication,16,ASSOCIATE DATA SCIENTIST,13,"Foot Locker, Inc.",11,"New York, NY",3,109
Spark,17,ASSOCIATE DATA SCIENTIST,13,"Foot Locker, Inc.",11,"New York, NY",3,110
Hadoop,19,ASSOCIATE DATA SCIENTIST,13,"Foot Locker, Inc.",11,"New York, NY",3,111
NoSQL,20,ASSOCIATE DATA SCIENTIST,13,"Foot Locker, Inc.",11,"New York, NY",3,112
Mathematics,33,ASSOCIATE DATA SCIENTIST,13,"Foot Locker, Inc.",11,"New York, NY",3,113
Mining,34,ASSOCIATE DATA SCIENTIST,13,"Foot Locker, Inc.",11,"New York, NY",3,114
API,47,ASSOCIATE DATA SCIENTIST,13,"Foot Locker, Inc.",11,"New York, NY",3,115
all,1,Chief Data Scientist (Quant),14,Bitcoin Investment Firm,12,"New York, NY",3,116
Machine learning,11,Chief Data Scientist (Quant),14,Bitcoin Investment Firm,12,"New York, NY",3,117
Mining,34,Chief Data Scientist (Quant),14,Bitcoin Investment Firm,12,"New York, NY",3,118
all,1,Looking for Jr.Data Scientist or Data Analyst (1 year excperience),15,Karwell Technologiies Inc,13,"Jersey City, NJ",4,119
python,2,Looking for Jr.Data Scientist or Data Analyst (1 year excperience),15,Karwell Technologiies Inc,13,"Jersey City, NJ",4,120
r,3,Looking for Jr.Data Scientist or Data Analyst (1 year excperience),15,Karwell Technologiies Inc,13,"Jersey City, NJ",4,121
all,1,Data Scientist,16,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,122
python,2,Data Scientist,16,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,123
r,3,Data Scientist,16,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,124
Machine learning,11,Data Scientist,16,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,125
SQL,12,Data Scientist,16,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,126
Project management,13,Data Scientist,16,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,127
Communication,16,Data Scientist,16,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,128
Statistics,31,Data Scientist,16,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,129
Visualization,32,Data Scientist,16,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,130
Mathematics,33,Data Scientist,16,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,131
Matlab,36,Data Scientist,16,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,132
Data analysis,54,Data Scientist,16,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,133
Quantitative analysis,55,Data Scientist,16,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,134
all,1,Marketing Data Scientist/Analyst,637,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,135
python,2,Marketing Data Scientist/Analyst,637,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,136
modeling,10,Marketing Data Scientist/Analyst,637,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,137
SQL,12,Marketing Data Scientist/Analyst,637,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,138
Excel,25,Marketing Data Scientist/Analyst,637,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,139
Visualization,32,Marketing Data Scientist/Analyst,637,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,140
